26691390,42268586,鎮安府土孩,“像被子里的舒服，又像风捉摸不住”不是屁是什么？,114万,2015年7月16日
4949317,30786877,神棍伽利略,姐妹篇——我的滑板鞋。像爱不释手的 红色滑板鞋。,34.2万,2014年10月17日
5228144,5227351,顾小古,当初喜欢一个女孩子，不敢表白，最后和另一个女孩在一起，后来知道那个女孩也喜欢我，呵呵，疯狂却怕没有退路,29万,2014年10月28日
132768950,71955713,气chuan吁吁,李荣浩的老街，蔡健雅的红色高跟鞋，孙燕姿的遇见，陈奕迅说好久不见，可以组成美美的一幅画,17.9万,2016年3月23日
124614729,45344048,糟糕外星人,愿你有高跟鞋也有跑鞋，喝茶也喝酒。愿你有勇敢的朋友，牛逼的对手。愿你对过往的一切情深意重，但从不回头。愿你特别美丽，特别平静，特别凶狠，也特别温柔。,16.8万,2016年2月29日
28950138,77782838,哎哟鸽哥,第一次听这首歌，实在初中军训晚会上，一个戴眼镜的女生唱的，完全沉浸在那首歌里，我在那里怪吼怪叫的鼓掌，完了的时候，我特么激动地跑去操场边揪了一把草就送了上去，同学在旁边喝彩，最后 他成了我的女朋友，虽然现在分开了，但想起当时 我就很开心 么么哒,13.1万,2015年7月31日
9590902,44454186,大脸爱小脸,高三那会，我跟我的初恋互相暗恋一年，她最爱的歌曲。高考后我跟她表白，直到现在。我们很好，准备16年结婚纪念我们的7年之痒,10.8万,2015年1月28日
504192407,561520874,李某不是李总,我怀疑月老拿着我的红线去织秋裤了,10.7万,2017年8月10日
5926437,41822974,夫子不语,高一的时候学校每天中午放学都放，导致现在一听这歌就想就想向外冲,89863,2014年11月17日
1332367356,555713618,TRACE_PAST,你这一句话，整首歌听起来都没了韵味。老想笑，，，,81289,2018年12月20日
1048928097,564067301,棹顾,"原来成年人的感情是不追问 是不解释是心照不宣 是突然走散是自然消减 是一种冰冷的默契",73248,2018年3月10日
146644920,50104271,Mr_小刘同学,98年，两小无猜。04年，传纸条。08年，深吻了。13年，你结婚我未婚。15年，你离婚致电给我。7月我醉了一宿。,54722,2016年4月27日
718648325,2307142,然后我就两个人了,人生中第一双红色高跟鞋，马上我就要穿着他走向我的新郎了,46921,2018年2月26日
7257121,2865902,帐号已注销,可是，我没有高跟鞋。我更没有红色高跟鞋。,44304,2014年12月18日
1332601742,609854536,十二点钟灰姑娘,是余温吧……,39907,2018年12月20日
