5034717,1524049,火苗儿,小蚂蚁迷路找不到蚁窝，可捉急了，恰好看到它的朋友经过，于是冲过去大喊一声：“哥们儿！你...你都如何回蚁窝？” 那朋友一愣，然后反问道“带...带...带着笑或是很沉默？”,34.6万,2014年10月20日
12230154,42654863,追风筝的我,你好像瘦了，头发也变长，背影陌生到让我觉得，见你是上个世纪的事，然后你开口叫我名字，我就想笑，好像自己刚刚放学，只在校门口等了你五分钟而已。,24.1万,2015年3月9日
727535505,94687730,dragonflyi,现在的我挺好，虽然没有谈恋爱，但日子过得有声有色，看书，写字，知道自己想要什么不想要什么，更喜欢动物，一直以来都想养条狗，虽然有时会觉得孤单，并不会孤独。唯一遗憾并愧疚的是父母对我婚姻的担忧。还是许个愿吧，希望我能遇到个合适的人让我重新信任，依赖，并对日后生活充满期待。,18万,2018年3月6日
1098002454,1412015872,丫丫的人儿,你永远都不会知道，你在路上随便见到的路人甲，是别人做梦都想见到的人,12.5万,2018年4月26日
4988159,38246256,周茉莉,有些人一旦错过就不再,12.5万,2014年10月18日
727076393,494954987,作恶一生,后来，我不是不喜欢你了，是我真的等过你很久你都没有反应，你装糊涂也好，不理解也罢，都别再回来找我，就像凉了的饭菜，再加热一遍，也不是原来的味道了,11.2万,2018年3月6日
1078627890,619774943,刘三岁不想四岁_,你都不知道 现在陪在你身边的那个成熟稳重体贴会照顾人的男人 是我用多少眼泪多少次争吵教会的 所以啊你一定要替我好好珍惜啊😄,97106,2018年4月8日
1099916942,356818816,油炸汤圆-,“慢慢大家会明白的，无法跟喜欢的人在一起，其实是人生的常态。”,96512,2018年4月28日
1111603061,1446280317,奔跑的小饼干,我们结婚吧，我攒了有1w多，你给我买个小点的钻戒吧。我不要车不要房也不要彩礼，结婚证也很便宜，你不要拿穷当借口。我真的想嫁给你。…你真的爱我吗？,80372,2018年5月9日
728680001,119482083,流年似水经过,“年少时的心事，是孤独隐秘的树种。缠绕的羞怯，仓皇，试探，期翼，执着和想象，长成参天大树，枝叶繁茂，遮蔽一地伪装的轻狂。那头，是他。那头，是她。后来啊后来，风吹散了青春。谢谢你，至少，我曾经遇到你。”2014.09.05,78751,2018年3月7日
1139455226,1465795926,爱听音乐的蓝鲸鱼,初三那年 她落在我衣服上的一根头发 我夹在语文课本里收藏到毕业.,63884,2018年6月5日
1073976012,3273812,LeiWhating,喜欢一个姑娘十年 她不知道 就在今天给她告白 可是她在一个星期前交了男朋友在全球变暖之前 我还没来得及暖你,55442,2018年4月4日
1107550054,501338728,被孤独爱上了,"My girlfriend is like Google.""Because she knows everything?""No，she has everything I'm searching for."-我女朋友就像谷歌一样-因为她知道所有事情?-不是，因为我想要找的，在她身上都有。 ——苏锡常镇二模英语听力第五题,48599,2018年5月5日
1108897122,317241968,祝你一切都好i,你朋友打电话说你喝多了哭着喊我的名字 晚上11点多喊了一个出租车从南京到上海 早上四点站在楼下等你 你朋友和两个男的下来给我说你睡了让我回去 后来我在网吧呆了一宿 第二天过去站楼下等你一天 打你电话 你拒接回信息选择不见 那个时候感觉上海原来在深夜这么冷…后来 我再也没有去过上海…挺傻的 嘿,47893,2018年5月6日
1069457989,411231881,-花折人心碎-,版权回来了！刘若英的后来终于拍成了电影，2018.4.28上映！《后来的我们》,34245,2018年3月30日
