2048433100,1290761222,TaylorSwift头像站-IU,我许愿成功了么，还真有了哎！,20.7万,2019年12月14日
2048489990,100049561,LeoOfficial,邓紫棋说她本来是想把这首歌写成情歌的，但是后来想了想她还是要把自己的真实感受经历写下来，控诉过去，没有畏惧前公司！被经纪公司压榨的还有吴青峰，Taylor Swift，希望都可以勇敢面对压迫！捍卫自己的权益！💪🏻💪🏻💪🏻,13.5万,2019年12月14日
2049032853,339152569,HolyGrail98888,终于发布了🙋🏻‍♂️算是我最近听的最多的一首歌真的有种唱出自己心里话的感觉就像半年前 我也挺失落的那时候特别不自信 感觉啥都做不好后来在微博上看到邓紫棋发了这首歌挺被鼓励的 也得到了很多力量画上句号 未来总会好起来的嘛,12.7万,2019年12月14日
2048493606,76978040,GEM邓紫棋资讯站,将控诉禁锢在歌词里，将过去尘封在乐曲中。十二年为一轮见证成长的历练，无论是成功的喜悦还是失败的酸楚，真情实感的流露或是流言蜚语的发酵，句号，是结束，也是新的开始❤️,84436,2019年12月14日
2048491558,327833599,ante安提,张丹不值得，他是个商人，把你当做商品；但你值得 你是鲜活的人，是珍贵难得的优秀歌手，是有血有肉的音乐人。与蜂鸟解约，把自由创作的权利的争取回来，让过去停在句号。工作室的成立、G Nation的出世，都是句号后无限延续的，新的开始，新的未来。你往前走便是，我们都只做你一人的骑士。,69331,2019年12月14日
2048460162,370750041,LionTeam,一段旅程的结束，亦是新一段旅程的开始。 时间终究会证明，尽管钻石曾被尘埃遮盖了光芒，但却永远挡不住她内心的锋芒。 一帆风顺 虽然令人羡慕可是逆水行舟有的时候会更令人钦佩！ 就让过去停在句号，新的征途 向阳而行！The Old Has Gone ， The New Has Come！,54377,2019年12月14日
2048527015,478268688,芒果藏起来,小女孩始终会长大 去拥抱全新的未来💕让过去停在句号 迎接未知的精彩,48454,2019年12月14日
2048441006,629019722,轻哭,终于不用为了听这首歌去一遍一遍看mv了,40242,2019年12月14日
2048541539,421568895,4everhp,“让生活的句号圈住的人 是无法前进半步的”,36884,2019年12月14日
2049009120,1574607238,菜园子已被注册,那这次就罚你再也见不到我啦。,27238,2019年12月14日
2048464799,80031598,芥末粉yc,时间滴滴答 你还记得吗 说句心里话 你还怀念吗😿,20579,2019年12月14日
2056512637,60590947,贴吧_锋小蜜吧,2019 即将结束，我们迎来了一个句号。2020 你好吗？最熟悉的陌生人，最终我们都将走向人生的句号，亲爱的，请多保重！,16237,2019年12月21日
2048858751,96259738,咯呜咕,其实我更想解读为 感谢我们终于来到 一个句号,14421,2019年12月14日
2048451160,100049561,LeoOfficial,时针滴滴答，你还记得吗？说句心里话，你还怀念吗？,11748,2019年12月14日
