1607626168,414717710,王恩信,这首歌17年写的 18年发了一版后来不满意删了 这次重新修改后录制了这个版本 还记得当时发这首歌的时候还不到一百个粉丝 也没人听我的歌 一天几十个播放量 录制的时候有两处有点哽咽想重新录的 后来想想算了 就这样吧 挺好的,18.5万,2019年8月24日
1667441867,1504584075,你会有负罪感吗,就在刚刚 我刚刚在二楼的阳台上面 点了一根烟 楼下有一群孩子在玩耍 看见了我 就在楼下喊 叔叔不要抽烟 抽烟对身体不好 我对这他笑笑 把烟掐灭了 一个人在陌生的城市 这种突如其来的关心 真的很让人感动,10.1万,2019年10月29日
1686277683,427107147,难过也会自己熬,爱情公寓经典语录: 当面对两个选择时，抛硬币总能奏效。 并不是因为它总能给出对的答案，而是在你把它抛在空中的那一秒里。 你突然就知道，你希望的结果是什么了。 ——曾小贤 别以为世界抛弃了你，其实世界压根没空搭理你 ——陈美嘉 火车是朝前开的，去哪儿并不重要，关键在于窗外的风景 ——吕子乔,84877,2019年11月20日
2039494052,577777579,吕大叶,期待很久的新版本，恩信这首新歌的风格真的很喜欢。愿所有追求梦想的人都能在《篝火旁》看着自己的梦想《飞》上天空！！！,61249,2019年12月6日
1607654726,376927708,王訫,来自黑龙江,35964,2019年8月24日
2039523802,414717710,王恩信,新编曲已经替换了 因为时间太急了还是用的之间的voice音频 这几天会重新录一遍 换一些语气和和声 希望大家可以喜欢！,32055,2019年12月6日
2040823627,529786359,一只猫咪的故事,读书读不过人家，拼命也拼不过，人这一辈子也就只能尽力。“向日葵只有一个太阳但太阳有无数向日葵”生活，不能说最好~但也不是最糟糕的。,31342,2019年12月7日
1650538298,414717710,王恩信,不想说鸡汤 但希望每个坚持梦想的人都可以坚持下去,23099,2019年10月9日
2043570764,1574607238,菜园子已被注册,“ 独自撑伞的日子，也一定要顺顺利利 。”,18020,2019年12月9日
1631309767,1364611086,辙返,因害怕失败而不敢放手一搏永远不会成功,17991,2019年9月18日
2039832017,1519293624,任易安,去拥抱你想要的未来吧 努力过了那就不只是梦,12569,2019年12月6日
1607657804,1379155732,老秦赚钱养木木,努力不被辜负,10700,2019年8月24日
1690355133,414717710,王恩信,这首歌和爱情有啥关系阿？？？,9604,2019年11月25日
2050054831,414717710,王恩信,一名优秀的rapper 一定会永远记得他来自哪里,9301,2019年12月15日
2035317505,396154994,你像遥远星火,跨过星河迈过月亮去迎接更好的自己,7861,2019年12月2日
