673717602,446413543,徐浩良呀,女友车祸身亡，他浑浑噩噩求神拜鬼，终于途径与她再见一面，他像过去那样剪了头熨了衬衣，刚要倾诉思念，却见她张开血盆大口扑了过来，吓得他落荒而逃，她站在原地俏皮的笑着：“笨蛋，这回不敢再想我了吧，要好好活着喔”。,16.6万,2018年1月16日
691005546,356261627,长腿辣妹So甜,那个男生在她看不见的角落说“傻瓜，这下可以了无牵挂去投胎了吧”,13.7万,2018年2月1日
647419690,632941956,秋刀鱼米有猫滋味,我从来不相信，一个人一辈子只会爱一个人，但我肯定，总有那么一段岁月，你会碰见一个想用一辈子去爱的那个人。,12.1万,2017年12月21日
648471007,382743660,屋塔房阿软,人一旦有了感情 就窝囊的不行 你说要敬往事一杯酒 再爱也不回头 实际上就算你醉到黄昏独自愁 只要那人伸出手 你还是会跟他走,36630,2017年12月22日
717771751,295181823,帐号已注销,小不才未得姑娘青睐扰姑娘良久姑娘莫怪自此所有爱慕之意止于唇齿溺于年华今生就此别过,25240,2018年2月25日
641847962,95865156,帐号已注销,何为失联呢 我们都知道对方就在世界的某一个角落 只是我们都不愿意去靠近 如果你不在网易云了 我也会选择离开。,20572,2017年12月15日
642215477,119911936,-Ma3,以后别做朋友，以后还是朋友…我想这就是所谓的永不失联的爱.,16707,2017年12月15日
1333246985,471402975,夏目贵志是窗前月是心上人,后来，她在奈何桥上喝下孟婆汤时，他站在弱水河边，微笑着，看着她进入轮回，而他，将一直在这永世不得轮回。（别问我为什么，剧情需要）看着她每一世经过这，忘掉别的男人，再进入新的轮回，而他，再也不能与她有任何瓜葛，哪怕从她生命里路过。,13747,2018年12月21日
1051206521,368498064,SofiaChen不熬夜,周兴哲曾在美国北野山高中留学 和你是校友，于是听他的歌仿佛就成了一种寄托。你去美国已经快两年了 两年来我从未打扰过你 你或许也没有再想起我吧。可为什么会这样 明明知道不可能有结果我却还是念念不忘，'你是我这一辈子都不想失联的爱 你的每条讯息都是心跳节拍 就算你的呼吸远在千山之外',11649,2018年3月12日
1333138355,397113411,此账号已永久封停,你跟你楼下的真是绝配啊,7816,2018年12月21日
1332440442,358233548,陆一川呀,那个女生看见了男生走了以后，转身痛声大哭 “原来他还是那么的了解我。”,6714,2018年12月20日
1332525807,112664907,已从良-,教他见女孩方法的道士在远处叹了口气，轻笑一声“总算是，圆满了”,6324,2018年12月20日
1332726796,360484050,-OrangeRed,但是如果只是那一段路想陪一生的人 那我宁愿从来没遇到过 后来忘记的过程太难了 真的真的,5483,2018年12月20日
