1482772774,1323807037,柏松M,愿世间的美好，与你环环相扣。,63.1万,2019年5月8日
1635493069,1323807037,柏松M,每天起床都会看一遍大家的评论，很开心能够得到大家的支持和认可大家有考研的，有工作的，有在努力学习的，也有在恋爱的当然也有一些失落的不管哪种属于你，我都希望这首歌能够带给你们温暖和动力，努力认真面对这个美好的世界，大爱小爱都会有的，大家加油,40.3万,2019年9月23日
1542939047,77767748,尹初七,此时已莺飞草长，爱的人正在路上。,40.2万,2019年7月2日
1633088631,396394393,汤Tangggggg,考研一定要成功呀。,22.3万,2019年9月20日
1634768395,1437043046,秋Michelle,两情相悦如今已经不多了，尤其在物欲横流的今天这已是奢望。但我仍然带着我的热情跟向往，在等待那个风雨夜归的人。 ——柴静《用我的一辈子去忘记》,19.7万,2019年9月22日
1635912355,1593783394,人间奇趣记录仪,真正能让你走远的 都是自律积极和勤奋,18.9万,2019年9月23日
1640159586,1328555812,养一只月亮可不可以呀,总会出现一个人 让你感觉人间值得,13.7万,2019年9月28日
1642478143,287742806,_权全圈,温柔的晚风 傍晚的晚霞 解暑的西瓜 冒泡的可乐 人间的美好多着呢 不要为眼前的黑暗所迷惑. 你要相信自己配得上世间一切的美好.,10.9万,2019年10月1日
1639817381,1327173144,埃洛瓦,去图书馆之前，我会先洗把脸，再梳好头发，然后喷三下香水，最后带着耳机去看书。只要眼前还有书籍，耳中还有音乐，就能让我觉得整个世界还是美好的,10.9万,2019年9月28日
1660674803,41686976,-大胡子叔叔-,不求环环相扣，只求十指紧握,76093,2019年10月21日
1542205934,1323807037,柏松M,这个7月，希望这首歌能陪你们度过一个温暖的夏天。,54872,2019年7月1日
1628179676,1323807037,柏松M,给我的新歌…一场泪热…打波广告呀，其实那首歌也真的好好听,50763,2019年9月14日
1671521494,1300636669,帐号已注销,烫手的烤锥栗，热腾腾的焦糖奶茶，大口呵出热气给你暖手的爱人，奶油味的羊绒毛衣和甜甜的拥抱。好想提前过冬天，一个容易变笨，适合撒娇的季节。 ​ ​​​ cr:爱口子,43176,2019年11月3日
1658941520,1343706460,越长大越孤单丫,我已经变得温柔了，可你却不在了。也祝你考研一切顺利！,34080,2019年10月19日
1668735791,435197433,向着光亮那方吖,所谓世间，你不就是吗@kon-kong,25578,2019年10月31日
