4780751,10604980,iBMX,音乐是味道，听着这首歌仿佛能够闻到大学的冬天,31万,2014年10月9日
62315109,124242117,恨雨寒,好不容易跟初恋长跑了6年，却得不到家人的祝福。好不容易偷户口本办了结婚证，却没钱装扮婚车迎接新娘。好不容易即将把债务还清，却被迫带着妻儿离开从小长到大的家。夜空中最亮的星，请指引我坚强下去。,27.7万,2016年1月16日
373557977,137325136,雀斑lin,爸爸失业去送美团外卖，妈妈在家楼下卖小吃天天躲城管，弟弟送快递，自己念了一个普通大学，不爱学的专业，以前觉得浑浑噩噩一辈子也就算了，今晚妈妈突然给我发信息说生意不好，我突然发现一声不能就这么完了，我才20岁，我要加油给我父母更好的生活，我要考研！！！我要改变自己的命运！！,23.7万,2017年5月4日
17835875,3714193,长安无雪,今天下午用自己的私人银行卡给每一位员工打了300块钱，转账备注里写的是：一百块一小时，买你回家看看妈妈，算是加班。,17.8万,2015年5月10日
153572234,132240586,MinekoHsu,我老爸走了八年了。每天晚上加完班回家抬头都会看到夜空中最亮的那颗心。我就知道那肯定是我老爸在看我。哈哈。莫名的就眼泪哗哗止不住了。老爸 您儿子很想你。,12.2万,2016年5月12日
373204539,438315764,喝醉的万磁王,今天爸爸结婚，我又有“妈妈”了，如果你还在就好了，妈妈。今天硕士毕业答辩结束，我毕业了，如果你还在就好了，妈妈。今天媳妇嫌礼金少，我生气了，如果你还在就好了，妈妈。失去妈妈是让人成熟最快的方法，可是我也不想长大啊，如果你还在就好了，妈妈。,11.4万,2017年5月4日
64221345,95253563,帐号已注销,你知道什么时候最难熬吗？从学校过度到社会的时候 看到喜欢的人和异性甜蜜的时候 身边没人相信你的时候 一个人难过需要亲朋好友陪伴却不在身边的时候 看到家人朋友有困难自己无能为力的时候 迫不得已对最重要的人撒谎的时候 当你累的时候 大概当你把这些事都熬过去的时候 你就会变成另一个人,93855,2016年1月23日
1086115342,265819368,Berlin柏林-,“别怕，孩子，那只是颗流星。” 一位叙利亚父亲抱着怀里慌张的孩子说,93793,2018年4月15日
44588070,97658855,Moonusun,第一次评论，这首歌对我太有意义了。去年考研一年的时光，是这颗最亮的星陪我走过的。记得无数次下自习的夜晚，踩着单车，耳朵里塞着耳机，大吼着这首歌。如今我坐在我梦想的学府里写评论，我想告诉大家，越努力越幸运，这是真的,55536,2015年11月3日
162466450,98905920,星晴_,高考563的复读生，顶着全家上下的反对执意复读，甚至离家出走来威胁（因为这分数可以冲211了）如今，没日没夜奋斗了一年的我，最后一次模拟540。不敢打电话给妈妈，现在坐在阳台上看着天空那为数不多的小星星，听着听着就听哭了。夜空中的星星，能否告诉我，我是不是错了，爸妈，我让你们失望了,47861,2016年5月31日
4791511,18830520,真夏透,最爱的先生，请指引我吧。我想去追逐你，想见你，想守护你。,45917,2014年10月10日
390702157,436686196,布吃鱼,“一个人爱上小溪，是因为没有见过大海” “我已见过银河，但我只爱一颗星”,39727,2017年5月23日
4769370,26285639,啊哦鹅咦呜羽,每当我找不到减肥的意义，每当我迷失在饥饿里，噢~夜宵中的牛肉面，请指引我吃下去。🍜🍜🍜,36807,2014年10月9日
5370467,35191777,笑尼妈,生活再艰苦，也要发自内心的笑！,35996,2014年11月1日
1117409545,616290302,屁嘞_tzor,高三以来，从来没有12点之前睡过觉，从来没有6点之后起过床。每天都是做题背书，做题背书。其实23天后高考并不可怕，，只求对得起父母和老师对自己的关心和疼爱，更是要对得起自己这三年的努力。我希望以后的生命能有许多云翳，来营造一个个美好的黄昏。有梦就有蓝天，相信自己一定能够看得见。加油。,34405,2018年5月14日
