165844062,77482177,风月善变,刚刚好的三行情书💌 作词：薛之谦作曲：薛之谦 演唱：薛之谦,24.1万,2016年6月7日
165825732,7571245,DoshineLee,四年前今天数学考完出来，我和她约定好我们去同一所大学我们就在一起，一个月后成绩出来，刚刚好我和她分数一样，但是她却有了男朋友,17.5万,2016年6月7日
165763966,82179192,艾琳艾德勒丶,恭喜你第一次因为新歌上了微博热搜榜第一，话题榜第二（仅次于高考）遇到你没有早一步，也没有晚一步，只有刚刚好@薛之谦,11.6万,2016年6月7日
166856692,129641058,帐号已注销,今晚是毕业晚会。为了拥抱她，我拥抱了整个班级。,99901,2016年6月10日
165836477,110710586,我想喝酸奶qwq,这是所有歌里最无力无奈的一首，没有演员的决裂冷淡，没有绅士的进退有度，没有方圆几里的执着，没有其实的歇斯底里，没有……有种后知后觉的撕心裂肺，连唱腔都隐隐作痛，我们的爱情到这刚刚好，不够我们拥抱就挽回不了。by微博谦友评论,67110,2016年6月7日
165774927,247593972,薛之洁,“因为我们的感情里都有遗憾，我不想看到很多人再有遗憾。” 没有刻骨铭心的爱情，却被你的音乐伤到体无完肤，薛之谦，如果一句歌词可以换一滴泪，那么多离人的悲伤，你要怎样才能收集完全。,57549,2016年6月7日
165864057,81790734,钟无艳Zurich,你在打广告时总是侃侃而谈，到了介绍自己的音乐却少言，甚至话题都不加。我知道的，你的音乐会替你说话，这么多年了，毫无保留的信任就是因为那三行情诗词曲演唱薛之谦，你说你还是那个认真做音乐的薛之谦，我深信不疑。眼泪掉得刚刚好，感动来得刚刚好，在最美的年纪遇到你，刚刚好。,50948,2016年6月7日
165787885,89184275,布衣加尔,段子界的偶像派，刚刚好；歌手界的实力派，刚刚好！,36659,2016年6月7日
178270269,247203547,玲儿0209,薛之谦帮助过癌症女孩，他说“哥哥没有太大能力，因为我不红，出场费没有几百万，但我把我的出场费都给你，你要相信这个世界有奇迹” 他真的是全世界最善良的薛之谦,33143,2016年7月4日
165867405,79045116,我是薛之谦-,我上午把你写进作文了。@薛之谦 ,30340,2016年6月7日
165815747,78991717,NULL-NAME15,刚刚好的时间，刚刚好的地点，我听你刚刚好的旋律配刚刚好的词,24531,2016年6月7日
165906273,41958924,有自野,三年前你说 有一天晚上 梦一场 你白发苍苍 说带我流浪 我还是没犹豫 就随你去天堂 现在你说 我们的流浪到这刚刚好 趁我们还没到天涯海角 我也不是非要去那座城堡 我们都成长了 那就好。@薛之谦,22598,2016年6月7日
165773970,96564981,美第奇牌守门员_,我不知道自己为了梦想能不能坚持十年 但我知道有人能 这一刻的到来太多不易和心酸 还好的是 时间终于没有辜负所有的真诚与热爱 今天是个特殊的日子 愿每个有梦的孩子 都在经历了长途跋涉以后 得到的美景刚刚好❤ @薛之谦,16210,2016年6月7日
165825842,276062858,离开台湾八百米,这首歌是老薛所有歌里面最平淡的一首，不是这首歌平淡，而是那种好像真的放下了一般的淡然，静静向看客诉说着自己的故事，却恬静地彷若旁人一般围观自己的感情，态度也由无奈到声嘶力竭到低语倾诉。我们的爱情到这刚刚好，不是不思念了，不是我真的放下了，而是现在这样就刚刚好。,14423,2016年6月7日
1101133809,1420046016,期-待_1,免费听着他的歌，骂着他的人品，消遣着他的故事，指手划脚他的道徳，这样的一些嘴脸实在是丑陋又不堪。。。 其他明星做音乐赚钱而薛之谦赚钱做音乐 别几天 就抹杀他过去别几句 就否定他人品别几字 就略去他用心别几秒 就对他下定义,9099,2018年4月29日
