1154579454,569135765,梦想是成为小欢,大盗原来是个将军，但不愿意接受册封，想拿赏赐的明珠给喜欢的人当弹弓打鸟，但回家的途中得知喜欢的人已经死了，庭前只剩下枇杷树了。所以故乡近在一箭的距离，却不敢回去面对现实惶惶不可前。只好当了睥睨四野的大盗。 ――转自专辑封面。,53.9万,2018年6月20日
1154367340,300147166,虾滑太好吃了吧,“你的笑像一条恶犬，撞乱了我心弦”是什么土味情话 😂,42.7万,2018年6月20日
1155610682,274578455,失望惧你,以前，大盗劫城出来掀了姑娘的裙子，反倒被姑娘的笑吸引了，想娶她但自己身份不妥，所以改邪归正，多年后成了将军，但姑娘早已去世，原本要送她的明珠也失去意义，被大盗射向山间。他谢绝了策勋，在庭前种下一棵枇杷树。如果当年没有碍于自己的身份，也许还能在姑娘活着时，为她窃一支玉簪。,39.7万,2018年6月21日
1154384568,85245459,迷鹭的鹭,人间烟火，山河远阔。无一是你，无一不是你。,25.3万,2018年6月20日
1154394715,507690851,可你怎么总是忘记我很爱你,“庭有枇杷树，吾妻死之年所手植也，今已亭亭如盖矣。”,19.9万,2018年6月20日
1154477351,557222557,帐号已注销,我只不过骑着我的马溜了个弯 没想到这个弯没转过来就遇见了你,18.6万,2018年6月20日
1154568069,326516158,悲喜摆渡人,你是一场遥不可及的梦，荒唐了我半生。,14.4万,2018年6月20日
1158217542,296935155,canGolo,歌名《盗将行》，行字为古文汉乐府的诗歌体裁，这首歌讲述了"一名大盗为了心爱的人远行盗取传言的意义非凡的玉簪，可归来时爱人却已被入侵的金军杀害，满怀憎怒的他弃盗从军，征战沙场杀敌只为爱人九泉下的安息，最后论功行赏本该被封为大将的他又抛弃名利回到故里，那年栽下的枇杷树已亭亭如盖矣"。,12.2万,2018年6月23日
1154420935,381028138,I-X-l,一身洒脱下还要掩藏着纷纷扰扰,94540,2018年6月20日
1154576001,1408416516,搁浅_Ambition,愿你福不单至，祸不成双。心念之有所偿，念念不忘自有回响。,93716,2018年6月20日
1154379119,507690851,可你怎么总是忘记我很爱你,盗将行，无人问心中人，长亭外，泪沾衣昔栽树，不知归，念树今已亭亭如盖,83908,2018年6月20日
1158598557,549402351,这名字也太难起了,我倾家荡产才买了一把剑，准备喝碗酒就上路 碰巧你在邻桌笑，从此心中无江湖,58310,2018年6月24日
1154410463,126955954,秋本葉介,后来我每年都去那条小巷吃一碗阳春面恍惚迷离不愿醒来 ：）,51759,2018年6月20日
1154366999,85245459,迷鹭的鹭,大雨连绵 思念不闲.,49065,2018年6月20日
1154633957,283599882,大tou大头下雨不愁,古代有一小姐，遇到一个上京赶考的穷书生避雨，发现其很有才华后以身相许。次日小姐垂泪送书生：“君若高中莫负妾身。”书生发誓后，走了。小姐让丫环把书生的名字纪录在册，丫头说：“这已经是第五十个书生了！”小姐说：“没办法，总有一个会真的考上的”。——2018最佳小说《风投》 书生让书,42805,2018年6月20日
