589781944,261217904,拓海叔叔,若生命如过场电影，让我再一次甜梦里惊醒,42.3万,2017年10月19日
589789747,58558558,红鼻子小黑,“我们提着过去，走入人群”,31.5万,2017年10月19日
589791530,112400890,墨鱼丝-,离别是为了更好的相遇。,23.9万,2017年10月19日
589858638,409104018,不就是吃喝拉撒的动物,“我梦见 你织了一筐的梦想送给我 笑得真甜 你回忆起时说🌙”,16.2万,2017年10月19日
589836972,302418635,顾均临,当云烟成雨，谁也不是谁的伴侣，故事终于走到结局，就这样揭开了谜底。,14万,2017年10月19日
589791707,88760305,七七七修远,我能否 变成淤泥 再次 沾染你,13万,2017年10月19日
638902794,444018615,莫昭华,“来生，你若不认得我，我就说，你的茶凉了，我再去给你续上。你便知那人是我。”——《爱有来生》,10.5万,2017年12月11日
1123058921,331991262,住在702號房間,我想我这辈子是要嫁给爱情的，如果不是我怕走不到最后。所以当周围的陆续结婚，恋爱的时候，我却一直在等，那个会给我爱情的人,10.3万,2018年5月20日
589806046,298747230,_老陳的,青春文艺爱情动画《我是江小白》由两点十分动漫制作出品，动漫取景自重庆，高度还原了多处重庆地标建筑。主人公：江小白，佟离，穆夕雨。作品于2017年11月全网上线。11.9，“所有的等待，只为再次邂逅”。,79118,2017年10月19日
589817110,84242841,小含含_,「我多想再见你，哪怕匆匆一眼就别离。」若生命如过场电影，你们一定会是我生命中最美好的那几帧。 总觉得在人间初来乍到二十年，你们都是礼物。好好努力，再好好去见面，见时珍惜，不见时想念，一路被各种善意眷顾，就已经是很好的状态了。 那么11.11江湖见。,61357,2017年10月19日
590093632,74139823,是Alice酱呀,各自坚守 各自自由 彼此深爱 各自孤独 等世间所有的相遇 也等所有与你的久别重逢。,52279,2017年10月19日
677083240,467473067,关伯兰_xtt,一次我和她语音，她很困早睡了，我很舍不得说你别挂等你睡着了我在挂，后来她睡着了我开游戏静音玩了一个通宵，耳朵里不是游戏里的背景音乐而是她轻微的呼吸声和翻转身体与被子的声音，我很满足 哪怕我输了一个晚上。,49044,2018年1月19日
589875197,64450721,流年伴夏LNBX,人也许会变，但有两件事是你无法改变的。他们的名字，还有你与之共享的回忆。,41377,2017年10月19日
1594245384,3375937,房东的猫房东的猫,下半年「生活」巡演将陆续在秀动、大麦和猫眼上开票，接下来我们将会经过郑州、重庆、北京和上海四座城市。希望我们能成为彼此美好的回忆，也很开心能够以这样的方式参与进大家的「生活」，我们现场见咯~重庆站秀动购票链接：http://t.cn/AiT622Bb,32950,2019年8月13日
589847158,104209716,青峰拂面Soda,「早知解散后 各自有际遇作导游奇就奇在 接受了 各自有路走 为何旧知己 在最后 变不到老友 …」,31332,2017年10月19日
